OriginAirportID,DestAirportID,Airline,OriginCityName,Distance,AirTime,Month
12889,11433,5,3,1749,202.0,7
14986,11618,11,55,1034,142.0,5
14122,13930,13,33,413,119.0,4
11973,12266,19,248,376,67.0,5
11292,14107,2,22,602,82.0,1
11292,10423,2,22,775,102.0,5
11423,15016,2,112,259,40.0,7
12266,13198,10,61,643,89.0,7
11298,14814,14,25,190,36.0,3
14100,10529,1,74,196,43.0,6
14107,14747,1,8,1107,161.0,4
13930,11076,0,11,360,64.0,6
11292,14683,7,22,794,102.0,3
12478,10423,3,17,1521,219.0,1
11193,11618,17,122,569,83.0,2
13204,12197,15,60,972,129.0,3
11292,11618,7,22,1605,186.0,4
13930,14771,7,11,1846,272.0,4
14747,14057,8,6,129,27.0,4
11292,10372,0,22,125,26.0,1
10721,13487,15,71,1124,190.0,4
11292,15016,2,22,770,93.0,5
12478,10397,3,17,760,111.0,4
10693,10994,2,20,439,69.0,5
10627,11292,0,34,516,83.0,4
14908,14747,8,9,978,127.0,7
10397,11146,9,12,363,65.0,7
13485,13930,20,203,109,33.0,1
14843,12478,3,28,1598,226.0,1
14683,12892,2,107,1211,169.0,5
14869,11298,3,14,989,124.0,1
14100,11697,1,74,992,151.0,6
10693,11278,2,20,562,79.0,6
10800,11298,1,123,1231,146.0,3
10821,12478,11,59,184,47.0,3
12264,14122,10,10,182,34.0,5
15016,11292,0,69,770,117.0,6
13487,13232,0,31,349,68.0,7
13422,10397,9,82,302,55.0,7
10792,13204,15,120,1011,136.0,4
14027,13930,1,86,1143,172.0,3
14108,11057,6,18,607,79.0,1
11259,13495,2,41,436,61.0,7
14869,14107,3,14,507,91.0,7
12217,11298,14,152,603,88.0,7
15304,10397,2,50,406,64.0,3
11298,12173,1,25,3784,456.0,5
10397,11996,3,12,153,29.0,7
11278,10257,6,10,318,58.0,2
12892,10423,1,2,1242,157.0,6
14908,13930,1,9,1726,211.0,6
12264,11057,10,10,322,54.0,7
11292,15048,0,22,466,66.0,2
11057,13139,6,35,175,33.0,6
12266,11278,10,61,1208,136.0,3
13930,11995,20,11,589,88.0,5
10721,11618,7,71,200,50.0,2
14689,11292,7,174,916,120.0,1
12953,13303,3,17,1096,,6
14843,11618,7,28,1608,227.0,4
14955,12016,7,348,129,29.0,4
14747,12982,8,6,2701,316.0,2
14057,14747,12,15,129,32.0,7
14107,10800,2,8,369,63.0,4
13891,14057,8,80,838,119.0,3
10994,12478,9,99,636,98.0,5
10397,12007,9,12,241,46.0,3
13930,11603,7,11,1780,243.0,6
14952,11298,14,312,630,,2
13830,14747,3,73,2640,315.0,1
11697,12953,15,37,1076,145.0,7
13930,14576,14,11,528,65.0,7
14869,11603,0,14,618,102.0,4
11884,14869,3,147,546,73.0,7
13204,10721,15,60,1121,136.0,4
14122,14635,5,33,966,133.0,3
10397,12451,3,12,270,48.0,3
11697,14100,16,37,992,145.0,6
14908,14747,8,9,978,142.0,6
13487,12339,3,31,503,72.0,2
10693,13303,1,20,806,118.0,6
11057,12323,1,35,185,33.0,6
12892,12889,2,2,236,43.0,7
13930,11267,20,11,240,38.0,2
14492,11057,1,23,130,32.0,5
10721,14771,15,71,2704,355.0,6
11298,12448,0,25,408,62.0,5
13930,10721,1,11,867,95.0,3
13931,12953,11,101,296,59.0,2
11618,15304,7,26,997,145.0,4
10423,15304,1,16,928,145.0,7
12889,10800,2,3,223,44.0,7
12266,12448,19,61,351,64.0,7
11292,12266,7,22,862,110.0,5
12339,11433,3,77,231,42.0,3
10397,13360,3,12,442,81.0,4
13232,11697,2,11,1167,145.0,3
14683,11540,2,107,496,71.0,4
14747,12892,0,6,954,142.0,3
11298,14683,1,25,247,41.0,6
10747,12266,19,216,308,56.0,3
14100,10397,3,74,666,105.0,4
13830,13930,7,73,4184,421.0,2
14869,10849,0,14,347,59.0,7
11298,11433,3,25,986,129.0,5
14771,12892,15,27,337,53.0,4
11193,14107,1,122,1569,226.0,1
12819,14747,8,239,680,92.0,5
12266,12889,5,61,1222,167.0,3
14107,12892,2,8,370,56.0,2
11057,11973,6,35,577,,1
13158,11292,0,219,563,91.0,2
14747,11298,1,6,1660,202.0,3
10279,11292,0,209,359,60.0,2
14771,15376,0,27,751,102.0,3
10397,13232,16,12,591,,7
11986,14100,18,146,573,79.0,5
10423,13930,14,16,977,128.0,3
14747,14679,8,6,1050,136.0,7
12892,11618,7,2,2454,281.0,7
13930,10821,2,11,621,83.0,4
12217,12264,19,152,596,86.0,1
13377,10397,9,172,448,64.0,3
14122,14100,11,33,268,49.0,7
11298,14635,1,25,1017,121.0,1
